"Previous Test ID","Source File","Application","Role","Module","Feature","Scenario","Precondition","Steps","Expected","Previous Result","Previous Defect","Previous Blocker","Previous Evidence"
"QA-0018","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Required full name validation","Required full name validation","See source evidence","Required full name validation","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0019","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Required email validation","Required email validation","See source evidence","Required email validation","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0020","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Malformed registration email validation","Malformed registration email validation","See source evidence","Malformed registration email validation","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0021","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Invalid registration phone validation","Invalid registration phone validation","See source evidence","Invalid registration phone validation","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0022","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Offline login shows Network Error without authenticated state","Offline login shows Network Error without authenticated state","See source evidence","Offline login shows Network Error without authenticated state","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0023","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Offline double click emits one login attempt","Offline double click emits one login attempt","See source evidence","Offline double click emits one login attempt","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0024","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Browser email login integration","Browser email login integration","See source evidence","Browser email login integration","Behavior described by historical assertion","FAIL","","","2026-09-13T15-55-49-652Z/customer-login.json"
"QA-0025","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Google sign-in configuration feedback","Google sign-in configuration feedback","See source evidence","Google sign-in configuration feedback","Behavior described by historical assertion","FAIL","","","2026-09-13T16-00-43-794Z/customer-actions.json; 2026-09-13T16-05-36-434Z/customer-actions.json"
"QA-0026","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Login back arrow navigation","Login back arrow navigation","See source evidence","Login back arrow navigation","Behavior described by historical assertion","FAIL","","","2026-09-13T16-00-43-794Z/customer-actions.json; 2026-09-13T16-05-36-434Z/customer-actions.json"
"QA-0027","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Password visibility toggle","Password visibility toggle","See source evidence","Password visibility toggle","Behavior described by historical assertion","NOT APPLICABLE","","","2026-09-13T15-52-45-611Z/customer-04-registration.json"
"QA-0028","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Customer OTP resend/expiry/incorrect code","Customer OTP resend/expiry/incorrect code","See source evidence","Customer OTP resend/expiry/incorrect code","Behavior described by historical assertion","NOT APPLICABLE","","","2026-09-13T15-52-45-611Z/customer-04-registration.json"
"QA-0029","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Enter from password input submits login","Enter from password input submits login","See source evidence","Enter from password input submits login","Behavior described by historical assertion","NOT TESTED","","","2026-09-13T16-09-59-533Z/results.json"
"QA-0030","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Create account persisted","Create account persisted","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","Create account persisted","Behavior described by historical assertion","BLOCKED","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0031","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Duplicate account","Duplicate account","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","Duplicate account","Behavior described by historical assertion","BLOCKED","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0032","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Profile creation","Profile creation","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","Profile creation","Behavior described by historical assertion","BLOCKED","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0033","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Password length","Password length","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","Password length","Behavior described by historical assertion","BLOCKED","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0034","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Password mismatch","Password mismatch","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","Password mismatch","Behavior described by historical assertion","BLOCKED","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0035","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Long values","Long values","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","Long values","Behavior described by historical assertion","BLOCKED","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0036","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Unicode values","Unicode values","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","Unicode values","Behavior described by historical assertion","BLOCKED","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0037","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Registration","Registration duplicate submit","Registration duplicate submit","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","Registration duplicate submit","Behavior described by historical assertion","BLOCKED","","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0038","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Header actions","Header actions","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Header actions","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0039","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Location/address selector","Location/address selector","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Location/address selector","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0040","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Home search","Home search","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Home search","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0041","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Category cards","Category cards","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Category cards","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0042","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Featured products","Featured products","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Featured products","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0043","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Featured services","Featured services","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Featured services","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0044","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Every product/service card","Every product/service card","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Every product/service card","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0045","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Bottom navigation","Bottom navigation","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Bottom navigation","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0046","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Loading states","Loading states","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Loading states","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0047","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Empty states","Empty states","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Empty states","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0048","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","API-backed content comparison","API-backed content comparison","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","API-backed content comparison","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0049","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Refresh behavior","Refresh behavior","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Refresh behavior","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0050","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Notifications","Notifications","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Notifications","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0051","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Category browse","Category browse","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Category browse","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0052","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Product list","Product list","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Product list","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0053","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Product detail","Product detail","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Product detail","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0054","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search empty","UI search empty","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","UI search empty","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0055","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search partial","UI search partial","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","UI search partial","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0056","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search case","UI search case","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","UI search case","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0057","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search special characters","UI search special characters","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","UI search special characters","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0058","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Filters","Filters","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Filters","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0059","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Sorting","Sorting","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Sorting","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0060","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Out of stock","Out of stock","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Out of stock","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0061","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Low stock","Low stock","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Low stock","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0062","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Quantity selection","Quantity selection","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Quantity selection","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0063","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Back navigation","Back navigation","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Back navigation","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0064","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Refresh","Refresh","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Refresh","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0065","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Display-to-API match","Display-to-API match","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Display-to-API match","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0066","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Add product","Add product","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Add product","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0067","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Multiple products","Multiple products","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Multiple products","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0068","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Increase quantity","Increase quantity","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Increase quantity","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0069","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Decrease quantity","Decrease quantity","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Decrease quantity","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0070","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Remove item","Remove item","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Remove item","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0071","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Remove final item","Remove final item","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Remove final item","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0072","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Persist cart","Persist cart","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Persist cart","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0073","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Duplicate product","Duplicate product","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Duplicate product","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0074","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Stock limit","Stock limit","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Stock limit","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0075","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Zero quantity","Zero quantity","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Zero quantity","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0076","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Negative quantity","Negative quantity","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Negative quantity","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0077","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Subtotal arithmetic","Subtotal arithmetic","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Subtotal arithmetic","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0078","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Total arithmetic","Total arithmetic","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Total arithmetic","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0079","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Tax/charges","Tax/charges","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Tax/charges","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0080","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Empty cart","Empty cart","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Empty cart","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0081","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Addresses","Address list","Address list","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Address list","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0082","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Addresses","Add","Add","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Add","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0083","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Addresses","Edit","Edit","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Edit","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0084","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Addresses","Delete","Delete","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Delete","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0085","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Addresses","Default","Default","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Default","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
