"TestID","PreviousSource","Application","Role","Module","Feature","Scenario","PreviousResult","CurrentResult","Delta","ExecutionEnvironment","PreviousDefect","CurrentDefect","PreviousBlocker","CurrentBlocker","Evidence","Notes","PreviousEvidence"
"QA-0057","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search special characters","UI search special characters","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0058","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Filters","Filters","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0059","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Sorting","Sorting","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0060","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Out of stock","Out of stock","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0061","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Low stock","Low stock","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0062","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Quantity selection","Quantity selection","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0063","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Back navigation","Back navigation","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0064","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Refresh","Refresh","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0065","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Display-to-API match","Display-to-API match","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0066","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Add product","Add product","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0067","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Multiple products","Multiple products","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0070","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Remove item","Remove item","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0072","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Persist cart","Persist cart","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0073","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Duplicate product","Duplicate product","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0074","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Stock limit","Stock limit","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0075","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Zero quantity","Zero quantity","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0076","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Negative quantity","Negative quantity","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0077","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Subtotal arithmetic","Subtotal arithmetic","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0078","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Total arithmetic","Total arithmetic","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0079","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Tax/charges","Tax/charges","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0080","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Cart","Empty cart","Empty cart","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0138","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration return link","Registration return link","PASS","NOT TESTED","PASS -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","Visible state changes verified; Remember me session persistence is not certified","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0139","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","OTP back arrow","OTP back arrow","PASS","NOT TESTED","PASS -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","Visible state changes verified; Remember me session persistence is not certified","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0155","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Invalid password","Invalid password","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0156","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Password rotation","Password rotation","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0157","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Wrong OTP response","Wrong OTP response","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0158","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","OTP resend response","OTP resend response","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0159","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","OTP expiry","OTP expiry","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0160","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration success","Registration success","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0161","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration duplicate account","Registration duplicate account","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0162","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration profile/KYC persistence","Registration profile/KYC persistence","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0163","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration numeric/long/Unicode validation","Registration numeric/long/Unicode validation","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0164","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Password visibility toggle","Password visibility toggle","NOT APPLICABLE","NOT TESTED","NOT APPLICABLE -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No toggle in deployed email login",""
"QA-0166","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Dashboard","Online/offline","Online/offline","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0168","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Dashboard","Earnings summary","Earnings summary","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0169","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Dashboard","Materials summary","Materials summary","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0170","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Dashboard","Notifications","Notifications","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0171","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Dashboard","All dashboard actions","All dashboard actions","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0177","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Jobs","Reject","Reject","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
