id,application,module,feature,role,status,reason,evidence
"QA-0028","Customer","Authentication","Customer OTP resend/expiry/incorrect code","CUSTOMER","NOT APPLICABLE","No visibility toggle; deployed customer UI explicitly says OTP login coming later","2026-09-13T15-52-45-611Z/customer-04-registration.json"
"QA-0029","Customer","Authentication","Enter from password input submits login","CUSTOMER","NOT TESTED","Key was pressed but no action observed; keyboard submission contract not established","2026-09-13T16-09-59-533Z/results.json"
"QA-0030","Customer","Registration","Create account persisted","CUSTOMER","BLOCKED","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0031","Customer","Registration","Duplicate account","CUSTOMER","BLOCKED","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0032","Customer","Registration","Profile creation","CUSTOMER","BLOCKED","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0033","Customer","Registration","Password length","CUSTOMER","BLOCKED","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0034","Customer","Registration","Password mismatch","CUSTOMER","BLOCKED","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0035","Customer","Registration","Long values","CUSTOMER","BLOCKED","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0036","Customer","Registration","Unicode values","CUSTOMER","BLOCKED","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0037","Customer","Registration","Registration duplicate submit","CUSTOMER","BLOCKED","Registration completion unavailable; password probes stopped at phone validation and do not establish password validator behavior","2026-09-13T16-09-59-533Z/results.json"
"QA-0038","Customer","Home","Header actions","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0039","Customer","Home","Location/address selector","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0040","Customer","Home","Home search","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0041","Customer","Home","Category cards","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0042","Customer","Home","Featured products","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0043","Customer","Home","Featured services","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0044","Customer","Home","Every product/service card","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0045","Customer","Home","Bottom navigation","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0046","Customer","Home","Loading states","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0047","Customer","Home","Empty states","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0048","Customer","Home","API-backed content comparison","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0049","Customer","Home","Refresh behavior","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0050","Customer","Home","Notifications","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0051","Customer","Catalog","Category browse","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0052","Customer","Catalog","Product list","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0053","Customer","Catalog","Product detail","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0054","Customer","Catalog","UI search empty","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0055","Customer","Catalog","UI search partial","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0056","Customer","Catalog","UI search case","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0057","Customer","Catalog","UI search special characters","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0058","Customer","Catalog","Filters","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0059","Customer","Catalog","Sorting","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0060","Customer","Catalog","Out of stock","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0061","Customer","Catalog","Low stock","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0062","Customer","Catalog","Quantity selection","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0063","Customer","Catalog","Back navigation","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0064","Customer","Catalog","Refresh","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0065","Customer","Catalog","Display-to-API match","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0066","Customer","Cart","Add product","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0067","Customer","Cart","Multiple products","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0068","Customer","Cart","Increase quantity","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0069","Customer","Cart","Decrease quantity","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0070","Customer","Cart","Remove item","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0071","Customer","Cart","Remove final item","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0072","Customer","Cart","Persist cart","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0073","Customer","Cart","Duplicate product","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0074","Customer","Cart","Stock limit","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0075","Customer","Cart","Zero quantity","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0076","Customer","Cart","Negative quantity","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0077","Customer","Cart","Subtotal arithmetic","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0078","Customer","Cart","Total arithmetic","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0079","Customer","Cart","Tax/charges","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0080","Customer","Cart","Empty cart","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0081","Customer","Addresses","Address list","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0082","Customer","Addresses","Add","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0083","Customer","Addresses","Edit","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0084","Customer","Addresses","Delete","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0085","Customer","Addresses","Default","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0086","Customer","Addresses","Required fields","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0087","Customer","Addresses","Invalid postal code","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0088","Customer","Addresses","Long values","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0089","Customer","Addresses","Special characters","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0090","Customer","Addresses","Blank fields","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0091","Customer","Addresses","Duplicate address","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0092","Customer","Addresses","Refresh persistence","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0093","Customer","Checkout","Store selection","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0094","Customer","Checkout","Inventory reservation","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0095","Customer","Checkout","Quantity correctness","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0096","Customer","Checkout","Price correctness","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0097","Customer","Checkout","Total correctness","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0098","Customer","Checkout","Confirmation","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0099","Customer","Checkout","Failure handling","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0100","Customer","Checkout","Duplicate submit","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0101","Customer","Checkout","Network interruption","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0102","Customer","Checkout","Deferred payments","CUSTOMER","NOT APPLICABLE","Payments excluded by requested test scope unless enabled; enabled payment flow not established",""
"QA-0103","Customer","Service request","Service type","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0104","Customer","Service request","Description","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0105","Customer","Service request","Address selection","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0106","Customer","Service request","Validation","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0107","Customer","Service request","Submission","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0108","Customer","Service request","Duplicate submission","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0109","Customer","Service request","Request detail","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0110","Customer","Service request","Status","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0111","Customer","Service request","Assigned plumber","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0112","Customer","Service request","Full lifecycle","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0113","Customer","Order tracking/completion","Actual backend state mapping","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0114","Customer","Order tracking/completion","Assigned state","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0115","Customer","Order tracking/completion","Arrival state","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0116","Customer","Order tracking/completion","Diagnosis state","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0117","Customer","Order tracking/completion","Materials state","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0118","Customer","Order tracking/completion","Resumed state","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0119","Customer","Order tracking/completion","Completed state","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0120","Customer","Order tracking/completion","Completion detail","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0121","Customer","Order tracking/completion","Customer confirmation","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0122","Customer","Order tracking/completion","Rating","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0123","Customer","Order tracking/completion","Review","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0124","Customer","Order tracking/completion","Duplicate rating","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0125","Customer","Order tracking/completion","Rating retrieval","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0126","Customer","Order tracking/completion","History","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0127","Customer","Profile/support","View profile","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0128","Customer","Profile/support","Edit profile","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0129","Customer","Profile/support","Validation","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0130","Customer","Profile/support","Persistence after relogin","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0131","Customer","Profile/support","Support chat","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0132","Customer","Profile/support","Support links","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0133","Customer","Profile/support","Help actions","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0134","Plumber","Authentication","Email tab","PLUMBER","PASS","Visible state changes verified; Remember me session persistence is not certified","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0135","Plumber","Authentication","Mobile tab","PLUMBER","PASS","Visible state changes verified; Remember me session persistence is not certified","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0136","Plumber","Authentication","Remember me toggles on/off","PLUMBER","PASS","Visible state changes verified; Remember me session persistence is not certified","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0137","Plumber","Authentication","Exact Sign up link opens registration","PLUMBER","PASS","Visible state changes verified; Remember me session persistence is not certified","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0138","Plumber","Authentication","Registration return link","PLUMBER","PASS","Visible state changes verified; Remember me session persistence is not certified","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0139","Plumber","Authentication","OTP back arrow","PLUMBER","PASS","Visible state changes verified; Remember me session persistence is not certified","2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0140","Plumber","Authentication","Email login backend target","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0141","Plumber","Authentication","Empty mobile validation feedback","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0142","Plumber","Authentication","Short mobile validation feedback","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0143","Plumber","Authentication","Empty email login feedback","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0144","Plumber","Authentication","Empty registration feedback","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0145","Plumber","Authentication","Forgot password feedback","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0146","Plumber","Authentication","Google feedback","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0147","Plumber","Authentication","Facebook feedback","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0148","Plumber","Authentication","Initial OTP dispatch truthfulness","PLUMBER","FAIL","BUG-PROD-PLUMBER-001/002/003/004","2026-09-13T15-55-49-652Z/plumber-login.json; 2026-09-13T16-02-47-798Z/plumber-actions.json; 2026-09-13T16-05-36-434Z/plumber-actions.json"
"QA-0149","Plumber","Authentication","Successful login","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0150","Plumber","Authentication","Actual PLUMBER role","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0151","Plumber","Authentication","Session restore","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0152","Plumber","Authentication","Refresh","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0153","Plumber","Authentication","Logout","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0154","Plumber","Authentication","Post-logout route","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0155","Plumber","Authentication","Invalid password","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0156","Plumber","Authentication","Password rotation","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0157","Plumber","Authentication","Wrong OTP response","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0158","Plumber","Authentication","OTP resend response","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0159","Plumber","Authentication","OTP expiry","PLUMBER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
